rank,name,types,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon_url,details_url,scrape_ts
0025,Pikachu,Electric,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png,https://pokemondb.net/pokedex/pikachu,2024-02-24 15:05:21
0025,Partner Pikachu,Electric,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png,https://pokemondb.net/pokedex/pikachu,2024-02-24 15:05:21
0026,Raichu,Electric,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png,https://pokemondb.net/pokedex/raichu,2024-02-24 15:05:21
0026,Alolan Raichu,"Electric, Psychic",485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png,https://pokemondb.net/pokedex/raichu,2024-02-24 15:05:21
0027,Sandshrew,Ground,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png,https://pokemondb.net/pokedex/sandshrew,2024-02-24 15:05:21
0027,Alolan Sandshrew,"Ice, Steel",300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png,https://pokemondb.net/pokedex/sandshrew,2024-02-24 15:05:21
0028,Sandslash,Ground,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png,https://pokemondb.net/pokedex/sandslash,2024-02-24 15:05:21
0028,Alolan Sandslash,"Ice, Steel",450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png,https://pokemondb.net/pokedex/sandslash,2024-02-24 15:05:21
0029,Nidoran♀,Poison,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png,https://pokemondb.net/pokedex/nidoran-f,2024-02-24 15:05:21
0030,Nidorina,Poison,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png,https://pokemondb.net/pokedex/nidorina,2024-02-24 15:05:21
0031,Nidoqueen,"Poison, Ground",505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png,https://pokemondb.net/pokedex/nidoqueen,2024-02-24 15:05:21
0032,Nidoran♂,Poison,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png,https://pokemondb.net/pokedex/nidoran-m,2024-02-24 15:05:21
0033,Nidorino,Poison,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png,https://pokemondb.net/pokedex/nidorino,2024-02-24 15:05:21
0034,Nidoking,"Poison, Ground",505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png,https://pokemondb.net/pokedex/nidoking,2024-02-24 15:05:21
0035,Clefairy,Fairy,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png,https://pokemondb.net/pokedex/clefairy,2024-02-24 15:05:21
0036,Clefable,Fairy,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png,https://pokemondb.net/pokedex/clefable,2024-02-24 15:05:21
0037,Vulpix,Fire,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png,https://pokemondb.net/pokedex/vulpix,2024-02-24 15:05:21
0037,Alolan Vulpix,Ice,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png,https://pokemondb.net/pokedex/vulpix,2024-02-24 15:05:21
0038,Ninetales,Fire,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png,https://pokemondb.net/pokedex/ninetales,2024-02-24 15:05:21
0038,Alolan Ninetales,"Ice, Fairy",505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png,https://pokemondb.net/pokedex/ninetales,2024-02-24 15:05:21
0039,Jigglypuff,"Normal, Fairy",270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png,https://pokemondb.net/pokedex/jigglypuff,2024-02-24 15:05:21
0040,Wigglytuff,"Normal, Fairy",435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png,https://pokemondb.net/pokedex/wigglytuff,2024-02-24 15:05:21
0041,Zubat,"Poison, Flying",245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png,https://pokemondb.net/pokedex/zubat,2024-02-24 15:05:21
0042,Golbat,"Poison, Flying",455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png,https://pokemondb.net/pokedex/golbat,2024-02-24 15:05:21
0043,Oddish,"Grass, Poison",320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png,https://pokemondb.net/pokedex/oddish,2024-02-24 15:05:21
0044,Gloom,"Grass, Poison",395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png,https://pokemondb.net/pokedex/gloom,2024-02-24 15:05:21
0045,Vileplume,"Grass, Poison",490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png,https://pokemondb.net/pokedex/vileplume,2024-02-24 15:05:21
0046,Paras,"Bug, Grass",285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png,https://pokemondb.net/pokedex/paras,2024-02-24 15:05:21
0047,Parasect,"Bug, Grass",405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png,https://pokemondb.net/pokedex/parasect,2024-02-24 15:05:21
0048,Venonat,"Bug, Poison",305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png,https://pokemondb.net/pokedex/venonat,2024-02-24 15:05:21
0049,Venomoth,"Bug, Poison",450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png,https://pokemondb.net/pokedex/venomoth,2024-02-24 15:05:21
0050,Diglett,Ground,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png,https://pokemondb.net/pokedex/diglett,2024-02-24 15:05:21
0050,Alolan Diglett,"Ground, Steel",265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett-alolan.png,https://pokemondb.net/pokedex/diglett,2024-02-24 15:05:21
0051,Dugtrio,Ground,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png,https://pokemondb.net/pokedex/dugtrio,2024-02-24 15:05:21
0051,Alolan Dugtrio,"Ground, Steel",425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio-alolan.png,https://pokemondb.net/pokedex/dugtrio,2024-02-24 15:05:21
0052,Meowth,Normal,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png,https://pokemondb.net/pokedex/meowth,2024-02-24 15:05:21
0052,Alolan Meowth,Dark,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-alolan.png,https://pokemondb.net/pokedex/meowth,2024-02-24 15:05:21
0052,Galarian Meowth,Steel,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-galarian.png,https://pokemondb.net/pokedex/meowth,2024-02-24 15:05:21
0053,Persian,Normal,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png,https://pokemondb.net/pokedex/persian,2024-02-24 15:05:21
0053,Alolan Persian,Dark,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian-alolan.png,https://pokemondb.net/pokedex/persian,2024-02-24 15:05:21
0054,Psyduck,Water,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png,https://pokemondb.net/pokedex/psyduck,2024-02-24 15:05:21
0055,Golduck,Water,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png,https://pokemondb.net/pokedex/golduck,2024-02-24 15:05:21
0056,Mankey,Fighting,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png,https://pokemondb.net/pokedex/mankey,2024-02-24 15:05:21
0057,Primeape,Fighting,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png,https://pokemondb.net/pokedex/primeape,2024-02-24 15:05:21
0058,Growlithe,Fire,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png,https://pokemondb.net/pokedex/growlithe,2024-02-24 15:05:21
0058,Hisuian Growlithe,"Fire, Rock",350,60,75,45,65,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,https://pokemondb.net/pokedex/growlithe,2024-02-24 15:05:21
0059,Arcanine,Fire,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png,https://pokemondb.net/pokedex/arcanine,2024-02-24 15:05:21
0059,Hisuian Arcanine,"Fire, Rock",555,95,115,80,95,80,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,https://pokemondb.net/pokedex/arcanine,2024-02-24 15:05:21
0060,Poliwag,Water,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png,https://pokemondb.net/pokedex/poliwag,2024-02-24 15:05:21
0061,Poliwhirl,Water,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png,https://pokemondb.net/pokedex/poliwhirl,2024-02-24 15:05:21
0062,Poliwrath,"Water, Fighting",510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png,https://pokemondb.net/pokedex/poliwrath,2024-02-24 15:05:21
0063,Abra,Psychic,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png,https://pokemondb.net/pokedex/abra,2024-02-24 15:05:21
0064,Kadabra,Psychic,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png,https://pokemondb.net/pokedex/kadabra,2024-02-24 15:05:21
0065,Alakazam,Psychic,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png,https://pokemondb.net/pokedex/alakazam,2024-02-24 15:05:21
0065,Mega Alakazam,Psychic,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png,https://pokemondb.net/pokedex/alakazam,2024-02-24 15:05:21
0066,Machop,Fighting,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png,https://pokemondb.net/pokedex/machop,2024-02-24 15:05:21
0067,Machoke,Fighting,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png,https://pokemondb.net/pokedex/machoke,2024-02-24 15:05:21
0068,Machamp,Fighting,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png,https://pokemondb.net/pokedex/machamp,2024-02-24 15:05:21
0069,Bellsprout,"Grass, Poison",300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png,https://pokemondb.net/pokedex/bellsprout,2024-02-24 15:05:21
0070,Weepinbell,"Grass, Poison",390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png,https://pokemondb.net/pokedex/weepinbell,2024-02-24 15:05:21
0071,Victreebel,"Grass, Poison",490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png,https://pokemondb.net/pokedex/victreebel,2024-02-24 15:05:21
0072,Tentacool,"Water, Poison",335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png,https://pokemondb.net/pokedex/tentacool,2024-02-24 15:05:21
0073,Tentacruel,"Water, Poison",515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png,https://pokemondb.net/pokedex/tentacruel,2024-02-24 15:05:21
0074,Geodude,"Rock, Ground",300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png,https://pokemondb.net/pokedex/geodude,2024-02-24 15:05:21
0074,Alolan Geodude,"Rock, Electric",300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png,https://pokemondb.net/pokedex/geodude,2024-02-24 15:05:21
0075,Graveler,"Rock, Ground",390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png,https://pokemondb.net/pokedex/graveler,2024-02-24 15:05:21
0075,Alolan Graveler,"Rock, Electric",390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png,https://pokemondb.net/pokedex/graveler,2024-02-24 15:05:21
0076,Golem,"Rock, Ground",495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png,https://pokemondb.net/pokedex/golem,2024-02-24 15:05:21
0076,Alolan Golem,"Rock, Electric",495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png,https://pokemondb.net/pokedex/golem,2024-02-24 15:05:21
0077,Ponyta,Fire,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png,https://pokemondb.net/pokedex/ponyta,2024-02-24 15:05:21
0077,Galarian Ponyta,Psychic,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png,https://pokemondb.net/pokedex/ponyta,2024-02-24 15:05:21
0078,Rapidash,Fire,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png,https://pokemondb.net/pokedex/rapidash,2024-02-24 15:05:21
0078,Galarian Rapidash,"Psychic, Fairy",500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png,https://pokemondb.net/pokedex/rapidash,2024-02-24 15:05:21
0079,Slowpoke,"Water, Psychic",315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png,https://pokemondb.net/pokedex/slowpoke,2024-02-24 15:05:21
0079,Galarian Slowpoke,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png,https://pokemondb.net/pokedex/slowpoke,2024-02-24 15:05:21
0080,Slowbro,"Water, Psychic",490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png,https://pokemondb.net/pokedex/slowbro,2024-02-24 15:05:21
0080,Mega Slowbro,"Water, Psychic",590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png,https://pokemondb.net/pokedex/slowbro,2024-02-24 15:05:21
0080,Galarian Slowbro,"Poison, Psychic",490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png,https://pokemondb.net/pokedex/slowbro,2024-02-24 15:05:21
0081,Magnemite,"Electric, Steel",325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png,https://pokemondb.net/pokedex/magnemite,2024-02-24 15:05:21
0082,Magneton,"Electric, Steel",465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png,https://pokemondb.net/pokedex/magneton,2024-02-24 15:05:21
0083,Farfetch'd,"Normal, Flying",377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png,https://pokemondb.net/pokedex/farfetchd,2024-02-24 15:05:21
0083,Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png,https://pokemondb.net/pokedex/farfetchd,2024-02-24 15:05:21
0084,Doduo,"Normal, Flying",310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png,https://pokemondb.net/pokedex/doduo,2024-02-24 15:05:21
0085,Dodrio,"Normal, Flying",470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png,https://pokemondb.net/pokedex/dodrio,2024-02-24 15:05:21
0086,Seel,Water,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png,https://pokemondb.net/pokedex/seel,2024-02-24 15:05:21
0087,Dewgong,"Water, Ice",475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png,https://pokemondb.net/pokedex/dewgong,2024-02-24 15:05:21
0088,Grimer,Poison,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png,https://pokemondb.net/pokedex/grimer,2024-02-24 15:05:21
0088,Alolan Grimer,"Poison, Dark",325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png,https://pokemondb.net/pokedex/grimer,2024-02-24 15:05:21
0089,Muk,Poison,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png,https://pokemondb.net/pokedex/muk,2024-02-24 15:05:21
0089,Alolan Muk,"Poison, Dark",500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png,https://pokemondb.net/pokedex/muk,2024-02-24 15:05:21
0090,Shellder,Water,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png,https://pokemondb.net/pokedex/shellder,2024-02-24 15:05:21
0091,Cloyster,"Water, Ice",525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png,https://pokemondb.net/pokedex/cloyster,2024-02-24 15:05:21
0092,Gastly,"Ghost, Poison",310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png,https://pokemondb.net/pokedex/gastly,2024-02-24 15:05:21
0093,Haunter,"Ghost, Poison",405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png,https://pokemondb.net/pokedex/haunter,2024-02-24 15:05:21
0094,Gengar,"Ghost, Poison",500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png,https://pokemondb.net/pokedex/gengar,2024-02-24 15:05:21
0094,Mega Gengar,"Ghost, Poison",600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png,https://pokemondb.net/pokedex/gengar,2024-02-24 15:05:21
0095,Onix,"Rock, Ground",385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png,https://pokemondb.net/pokedex/onix,2024-02-24 15:05:21
0096,Drowzee,Psychic,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png,https://pokemondb.net/pokedex/drowzee,2024-02-24 15:05:21
0097,Hypno,Psychic,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png,https://pokemondb.net/pokedex/hypno,2024-02-24 15:05:21
0098,Krabby,Water,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png,https://pokemondb.net/pokedex/krabby,2024-02-24 15:05:21
0099,Kingler,Water,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png,https://pokemondb.net/pokedex/kingler,2024-02-24 15:05:21
0100,Voltorb,Electric,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png,https://pokemondb.net/pokedex/voltorb,2024-02-24 15:05:21
0100,Hisuian Voltorb,"Electric, Grass",330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,https://pokemondb.net/pokedex/voltorb,2024-02-24 15:05:21
0101,Electrode,Electric,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png,https://pokemondb.net/pokedex/electrode,2024-02-24 15:05:21
0101,Hisuian Electrode,"Electric, Grass",490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,https://pokemondb.net/pokedex/electrode,2024-02-24 15:05:21
0102,Exeggcute,"Grass, Psychic",325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png,https://pokemondb.net/pokedex/exeggcute,2024-02-24 15:05:21
0103,Exeggutor,"Grass, Psychic",530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png,https://pokemondb.net/pokedex/exeggutor,2024-02-24 15:05:21
0103,Alolan Exeggutor,"Grass, Dragon",530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png,https://pokemondb.net/pokedex/exeggutor,2024-02-24 15:05:21
0104,Cubone,Ground,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png,https://pokemondb.net/pokedex/cubone,2024-02-24 15:05:21
