PokeID,Rank,Type,Pokemon,Icon,Details Link,Metric,Values
P1042-19,19,Normal,Rattata-Alolan Rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,https://pokemondb.net/pokedex/rattata,Attack,81
P1043-20,20,Normal,Raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,https://pokemondb.net/pokedex/raticate,Attack,131
P1044-20,20,Dark,Raticate-Alolan Raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,https://pokemondb.net/pokedex/raticate,Attack,111
P1045-20,20,Normal,Raticate-Alolan Raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,https://pokemondb.net/pokedex/raticate,Attack,111
P1046-21,21,Normal,Spearow,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,https://pokemondb.net/pokedex/spearow,Attack,91
P1047-21,21,Flying,Spearow,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,https://pokemondb.net/pokedex/spearow,Attack,91
P1048-22,22,Normal,Fearow,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,https://pokemondb.net/pokedex/fearow,Attack,151
P1049-22,22,Flying,Fearow,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,https://pokemondb.net/pokedex/fearow,Attack,151
P1050-23,23,Poison,Ekans,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,https://pokemondb.net/pokedex/ekans,Attack,100
P1051-24,24,Poison,Arbok,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,https://pokemondb.net/pokedex/arbok,Attack,160
P1052-25,25,Electric,Pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,https://pokemondb.net/pokedex/pikachu,Attack,105
P1053-25,25,Electric,Pikachu-Partner Pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,https://pokemondb.net/pokedex/pikachu,Attack,155
P1054-26,26,Electric,Raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,https://pokemondb.net/pokedex/raichu,Attack,180
P1055-26,26,Electric,Raichu-Alolan Raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,https://pokemondb.net/pokedex/raichu,Attack,180
P1056-26,26,Psychic,Raichu-Alolan Raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,https://pokemondb.net/pokedex/raichu,Attack,180
P1057-27,27,Ground,Sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,https://pokemondb.net/pokedex/sandshrew,Attack,95
P1058-27,27,Ice,Sandshrew-Alolan Sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,https://pokemondb.net/pokedex/sandshrew,Attack,85
P1059-27,27,Steel,Sandshrew-Alolan Sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,https://pokemondb.net/pokedex/sandshrew,Attack,85
P1060-28,28,Ground,Sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,https://pokemondb.net/pokedex/sandslash,Attack,145
P1061-28,28,Ice,Sandslash-Alolan Sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,https://pokemondb.net/pokedex/sandslash,Attack,125
P1062-28,28,Steel,Sandslash-Alolan Sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,https://pokemondb.net/pokedex/sandslash,Attack,125
P1063-29,29,Poison,Nidoran♀,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,https://pokemondb.net/pokedex/nidoran-f,Attack,87
P1064-30,30,Poison,Nidorina,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,https://pokemondb.net/pokedex/nidorina,Attack,117
P1065-31,31,Poison,Nidoqueen,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,https://pokemondb.net/pokedex/nidoqueen,Attack,167
P1066-31,31,Ground,Nidoqueen,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,https://pokemondb.net/pokedex/nidoqueen,Attack,167
P1067-32,32,Poison,Nidoran♂,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,https://pokemondb.net/pokedex/nidoran-m,Attack,97
P1068-33,33,Poison,Nidorino,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,https://pokemondb.net/pokedex/nidorino,Attack,127
P1069-34,34,Poison,Nidoking,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,https://pokemondb.net/pokedex/nidoking,Attack,187
P1070-34,34,Ground,Nidoking,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,https://pokemondb.net/pokedex/nidoking,Attack,187
P1071-35,35,Fairy,Clefairy,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,https://pokemondb.net/pokedex/clefairy,Attack,105
P1072-36,36,Fairy,Clefable,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,https://pokemondb.net/pokedex/clefable,Attack,165
P1073-37,37,Fire,Vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,https://pokemondb.net/pokedex/vulpix,Attack,91
P1074-37,37,Ice,Vulpix-Alolan Vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,https://pokemondb.net/pokedex/vulpix,Attack,91
P1075-38,38,Fire,Ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,https://pokemondb.net/pokedex/ninetales,Attack,157
P1076-38,38,Ice,Ninetales-Alolan Ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,https://pokemondb.net/pokedex/ninetales,Attack,148
P1077-38,38,Fairy,Ninetales-Alolan Ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,https://pokemondb.net/pokedex/ninetales,Attack,148
P1078-39,39,Normal,Jigglypuff,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,https://pokemondb.net/pokedex/jigglypuff,Attack,90
P1079-39,39,Fairy,Jigglypuff,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,https://pokemondb.net/pokedex/jigglypuff,Attack,90
P1080-40,40,Normal,Wigglytuff,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,https://pokemondb.net/pokedex/wigglytuff,Attack,155
P1081-40,40,Fairy,Wigglytuff,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,https://pokemondb.net/pokedex/wigglytuff,Attack,155
P1082-41,41,Poison,Zubat,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,https://pokemondb.net/pokedex/zubat,Attack,75
P1083-41,41,Flying,Zubat,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,https://pokemondb.net/pokedex/zubat,Attack,75
P1084-42,42,Poison,Golbat,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,https://pokemondb.net/pokedex/golbat,Attack,145
P1085-42,42,Flying,Golbat,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,https://pokemondb.net/pokedex/golbat,Attack,145
P1086-43,43,Grass,Oddish,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,https://pokemondb.net/pokedex/oddish,Attack,125
P1087-43,43,Poison,Oddish,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,https://pokemondb.net/pokedex/oddish,Attack,125
P1088-44,44,Grass,Gloom,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,https://pokemondb.net/pokedex/gloom,Attack,150
P1089-44,44,Poison,Gloom,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,https://pokemondb.net/pokedex/gloom,Attack,150
P1090-45,45,Grass,Vileplume,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,https://pokemondb.net/pokedex/vileplume,Attack,190
P1091-45,45,Poison,Vileplume,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,https://pokemondb.net/pokedex/vileplume,Attack,190
P1092-46,46,Bug,Paras,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,https://pokemondb.net/pokedex/paras,Attack,115
P1093-46,46,Grass,Paras,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,https://pokemondb.net/pokedex/paras,Attack,115
P1094-47,47,Bug,Parasect,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,https://pokemondb.net/pokedex/parasect,Attack,155
P1095-47,47,Grass,Parasect,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,https://pokemondb.net/pokedex/parasect,Attack,155
P1096-48,48,Bug,Venonat,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,https://pokemondb.net/pokedex/venonat,Attack,95
P1097-48,48,Poison,Venonat,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,https://pokemondb.net/pokedex/venonat,Attack,95
P1098-49,49,Bug,Venomoth,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,https://pokemondb.net/pokedex/venomoth,Attack,155
P1099-49,49,Poison,Venomoth,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,https://pokemondb.net/pokedex/venomoth,Attack,155
P1100-50,50,Ground,Diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,https://pokemondb.net/pokedex/diglett,Attack,90
P1101-50,50,Ground,Diglett-Alolan Diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,https://pokemondb.net/pokedex/diglett,Attack,90
P1102-50,50,Steel,Diglett-Alolan Diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,https://pokemondb.net/pokedex/diglett,Attack,90
P1103-51,51,Ground,Dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,https://pokemondb.net/pokedex/dugtrio,Attack,150
P1104-51,51,Ground,Dugtrio-Alolan Dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,https://pokemondb.net/pokedex/dugtrio,Attack,150
P1105-51,51,Steel,Dugtrio-Alolan Dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,https://pokemondb.net/pokedex/dugtrio,Attack,150
P1106-52,52,Normal,Meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,https://pokemondb.net/pokedex/meowth,Attack,85
P1107-52,52,Dark,Meowth-Alolan Meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,https://pokemondb.net/pokedex/meowth,Attack,85
P1108-52,52,Steel,Meowth-Galarian Meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,https://pokemondb.net/pokedex/meowth,Attack,105
P1109-53,53,Normal,Persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,https://pokemondb.net/pokedex/persian,Attack,135
P1110-53,53,Dark,Persian-Alolan Persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,https://pokemondb.net/pokedex/persian,Attack,135
P1111-54,54,Water,Psyduck,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,https://pokemondb.net/pokedex/psyduck,Attack,117
P1112-55,55,Water,Golduck,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,https://pokemondb.net/pokedex/golduck,Attack,177
P1113-56,56,Fighting,Mankey,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,https://pokemondb.net/pokedex/mankey,Attack,115
P1114-57,57,Fighting,Primeape,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,https://pokemondb.net/pokedex/primeape,Attack,165
P1115-58,58,Fire,Growlithe,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,https://pokemondb.net/pokedex/growlithe,Attack,140
P1116-59,59,Fire,Arcanine,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,https://pokemondb.net/pokedex/arcanine,Attack,210
P1117-60,60,Water,Poliwag,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,https://pokemondb.net/pokedex/poliwag,Attack,90
P1118-61,61,Water,Poliwhirl,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,https://pokemondb.net/pokedex/poliwhirl,Attack,115
P1119-62,62,Water,Poliwrath,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,https://pokemondb.net/pokedex/poliwrath,Attack,165
P1120-62,62,Fighting,Poliwrath,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,https://pokemondb.net/pokedex/poliwrath,Attack,165
P1121-63,63,Psychic,Abra,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,https://pokemondb.net/pokedex/abra,Attack,125
P1122-64,64,Psychic,Kadabra,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,https://pokemondb.net/pokedex/kadabra,Attack,155
P1123-65,65,Psychic,Alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,https://pokemondb.net/pokedex/alakazam,Attack,185
P1124-65,65,Psychic,Alakazam-Mega Alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,https://pokemondb.net/pokedex/alakazam,Attack,225
P1125-66,66,Fighting,Machop,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,https://pokemondb.net/pokedex/machop,Attack,115
P1126-67,67,Fighting,Machoke,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,https://pokemondb.net/pokedex/machoke,Attack,150
P1127-68,68,Fighting,Machamp,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,https://pokemondb.net/pokedex/machamp,Attack,195
P1128-69,69,Grass,Bellsprout,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,https://pokemondb.net/pokedex/bellsprout,Attack,145
P1129-69,69,Poison,Bellsprout,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,https://pokemondb.net/pokedex/bellsprout,Attack,145
P1130-70,70,Grass,Weepinbell,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,https://pokemondb.net/pokedex/weepinbell,Attack,175
P1131-70,70,Poison,Weepinbell,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,https://pokemondb.net/pokedex/weepinbell,Attack,175
P1132-71,71,Grass,Victreebel,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,https://pokemondb.net/pokedex/victreebel,Attack,205
P1133-71,71,Poison,Victreebel,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,https://pokemondb.net/pokedex/victreebel,Attack,205
P1134-72,72,Water,Tentacool,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,https://pokemondb.net/pokedex/tentacool,Attack,90
P1135-72,72,Poison,Tentacool,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,https://pokemondb.net/pokedex/tentacool,Attack,90
P1136-73,73,Water,Tentacruel,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,https://pokemondb.net/pokedex/tentacruel,Attack,150
P1137-73,73,Poison,Tentacruel,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,https://pokemondb.net/pokedex/tentacruel,Attack,150
P1138-74,74,Rock,Geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,https://pokemondb.net/pokedex/geodude,Attack,110
P1139-74,74,Ground,Geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,https://pokemondb.net/pokedex/geodude,Attack,110
P1140-74,74,Rock,Geodude-Alolan Geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,https://pokemondb.net/pokedex/geodude,Attack,110
P1141-74,74,Electric,Geodude-Alolan Geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,https://pokemondb.net/pokedex/geodude,Attack,110
P1142-75,75,Rock,Graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,https://pokemondb.net/pokedex/graveler,Attack,140
P1143-75,75,Ground,Graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,https://pokemondb.net/pokedex/graveler,Attack,140
P1144-75,75,Rock,Graveler-Alolan Graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,https://pokemondb.net/pokedex/graveler,Attack,140
P1145-75,75,Electric,Graveler-Alolan Graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,https://pokemondb.net/pokedex/graveler,Attack,140
P1146-76,76,Rock,Golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,https://pokemondb.net/pokedex/golem,Attack,175
P1147-76,76,Ground,Golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,https://pokemondb.net/pokedex/golem,Attack,175
P1148-76,76,Rock,Golem-Alolan Golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,https://pokemondb.net/pokedex/golem,Attack,175
P1149-76,76,Electric,Golem-Alolan Golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,https://pokemondb.net/pokedex/golem,Attack,175
P1150-77,77,Fire,Ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,https://pokemondb.net/pokedex/ponyta,Attack,150
P1151-77,77,Psychic,Ponyta-Galarian Ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,https://pokemondb.net/pokedex/ponyta,Attack,150
P1152-78,78,Fire,Rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,https://pokemondb.net/pokedex/rapidash,Attack,180
P1153-78,78,Psychic,Rapidash-Galarian Rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,https://pokemondb.net/pokedex/rapidash,Attack,180
P1154-78,78,Fairy,Rapidash-Galarian Rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,https://pokemondb.net/pokedex/rapidash,Attack,180
P1155-79,79,Water,Slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,https://pokemondb.net/pokedex/slowpoke,Attack,105
P1156-79,79,Psychic,Slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,https://pokemondb.net/pokedex/slowpoke,Attack,105
P1157-79,79,Psychic,Slowpoke-Galarian Slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,https://pokemondb.net/pokedex/slowpoke,Attack,105
P1158-80,80,Water,Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,https://pokemondb.net/pokedex/slowbro,Attack,175
P1159-80,80,Psychic,Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,https://pokemondb.net/pokedex/slowbro,Attack,175
P1160-80,80,Water,Slowbro-Mega Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,https://pokemondb.net/pokedex/slowbro,Attack,205
P1161-80,80,Psychic,Slowbro-Mega Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,https://pokemondb.net/pokedex/slowbro,Attack,205
P1162-80,80,Poison,Slowbro-Galarian Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,https://pokemondb.net/pokedex/slowbro,Attack,200
P1163-80,80,Psychic,Slowbro-Galarian Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,https://pokemondb.net/pokedex/slowbro,Attack,200
P1164-81,81,Electric,Magnemite,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,https://pokemondb.net/pokedex/magnemite,Attack,130
P1165-81,81,Steel,Magnemite,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,https://pokemondb.net/pokedex/magnemite,Attack,130
P1166-82,82,Electric,Magneton,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,https://pokemondb.net/pokedex/magneton,Attack,180
P1167-82,82,Steel,Magneton,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,https://pokemondb.net/pokedex/magneton,Attack,180
P1168-83,83,Normal,Farfetch'd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,https://pokemondb.net/pokedex/farfetchd,Attack,148
P1169-83,83,Flying,Farfetch'd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,https://pokemondb.net/pokedex/farfetchd,Attack,148
P1170-83,83,Fighting,Farfetch'd-Galarian Farfetch'd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,https://pokemondb.net/pokedex/farfetchd,Attack,153
P1171-84,84,Normal,Doduo,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,https://pokemondb.net/pokedex/doduo,Attack,120
P1172-84,84,Flying,Doduo,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,https://pokemondb.net/pokedex/doduo,Attack,120
P1173-85,85,Normal,Dodrio,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,https://pokemondb.net/pokedex/dodrio,Attack,170
P1174-85,85,Flying,Dodrio,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,https://pokemondb.net/pokedex/dodrio,Attack,170
